    0.9448    1.0907    1.1305    1.1423
    0.9466    1.1192    1.1254    1.1461
    0.9586    1.1364    1.1232    1.1435
    0.9820    1.1431    1.1245    1.1305
    1.0155    1.1421    1.1290    1.1047
    1.0540    1.1369    1.1356    1.0672
    1.0907    1.1305    1.1423    1.0220
    1.1192    1.1254    1.1461    0.9740
    1.1364    1.1232    1.1435    0.9272
    1.1431    1.1245    1.1305    0.8842
    1.1421    1.1290    1.1047    0.8462
    1.1369    1.1356    1.0672    0.8136
    1.1305    1.1423    1.0220    0.7858
    1.1254    1.1461    0.9740    0.7617
    1.1232    1.1435    0.9272    0.7401
    1.1245    1.1305    0.8842    0.7196
    1.1290    1.1047    0.8462    0.6994
    1.1356    1.0672    0.8136    0.6792
    1.1423    1.0220    0.7858    0.6594
    1.1461    0.9740    0.7617    0.6412
    1.1435    0.9272    0.7401    0.6269
    1.1305    0.8842    0.7196    0.6196
    1.1047    0.8462    0.6994    0.6234
    1.0672    0.8136    0.6792    0.6421
    1.0220    0.7858    0.6594    0.6769
    0.9740    0.7617    0.6412    0.7254
    0.9272    0.7401    0.6269    0.7820
    0.8842    0.7196    0.6196    0.8409
    0.8462    0.6994    0.6234    0.8976
    0.8136    0.6792    0.6421    0.9496
    0.7858    0.6594    0.6769    0.9960
    0.7617    0.6412    0.7254    1.0364
    0.7401    0.6269    0.7820    1.0709
    0.7196    0.6196    0.8409    1.0998
    0.6994    0.6234    0.8976    1.1232
    0.6792    0.6421    0.9496    1.1414
    0.6594    0.6769    0.9960    1.1549
    0.6412    0.7254    1.0364    1.1643
    0.6269    0.7820    1.0709    1.1710
    0.6196    0.8409    1.0998    1.1766
    0.6234    0.8976    1.1232    1.1836
    0.6421    0.9496    1.1414    1.1944
    0.6769    0.9960    1.1549    1.2103
    0.7254    1.0364    1.1643    1.2304
    0.7820    1.0709    1.1710    1.2504
    0.8409    1.0998    1.1766    1.2638
    0.8976    1.1232    1.1836    1.2642
    0.9496    1.1414    1.1944    1.2488
    0.9960    1.1549    1.2103    1.2187
    1.0364    1.1643    1.2304    1.1771
    1.0709    1.1710    1.2504    1.1281
    1.0998    1.1766    1.2638    1.0752
    1.1232    1.1836    1.2642    1.0210
    1.1414    1.1944    1.2488    0.9675
    1.1549    1.2103    1.2187    0.9163
    1.1643    1.2304    1.1771    0.8679
    1.1710    1.2504    1.1281    0.8228
    1.1766    1.2638    1.0752    0.7805
    1.1836    1.2642    1.0210    0.7403
    1.1944    1.2488    0.9675    0.7012
    1.2103    1.2187    0.9163    0.6624
    1.2304    1.1771    0.8679    0.6239
    1.2504    1.1281    0.8228    0.5864
    1.2638    1.0752    0.7805    0.5515
    1.2642    1.0210    0.7403    0.5209
    1.2488    0.9675    0.7012    0.4968
    1.2187    0.9163    0.6624    0.4817
    1.1771    0.8679    0.6239    0.4786
    1.1281    0.8228    0.5864    0.4909
    1.0752    0.7805    0.5515    0.5211
    1.0210    0.7403    0.5209    0.5689
    0.9675    0.7012    0.4968    0.6304
    0.9163    0.6624    0.4817    0.6990
    0.8679    0.6239    0.4786    0.7680
    0.8228    0.5864    0.4909    0.8323
    0.7805    0.5515    0.5211    0.8889
    0.7403    0.5209    0.5689    0.9365
    0.7012    0.4968    0.6304    0.9743
    0.6624    0.4817    0.6990    1.0025
    0.6239    0.4786    0.7680    1.0215
    0.5864    0.4909    0.8323    1.0321
    0.5515    0.5211    0.8889    1.0356
    0.5209    0.5689    0.9365    1.0337
    0.4968    0.6304    0.9743    1.0282
    0.4817    0.6990    1.0025    1.0214
    0.4786    0.7680    1.0215    1.0162
    0.4909    0.8323    1.0321    1.0154
    0.5211    0.8889    1.0356    1.0220
    0.5689    0.9365    1.0337    1.0381
    0.6304    0.9743    1.0282    1.0636
    0.6990    1.0025    1.0214    1.0958
    0.7680    1.0215    1.0162    1.1287
    0.8323    1.0321    1.0154    1.1548
    0.8889    1.0356    1.0220    1.1685
    0.9365    1.0337    1.0381    1.1682
    0.9743    1.0282    1.0636    1.1562
    1.0025    1.0214    1.0958    1.1364
    1.0215    1.0162    1.1287    1.1129
    1.0321    1.0154    1.1548    1.0889
    1.0356    1.0220    1.1685    1.0670
    1.0337    1.0381    1.1682    1.0486
    1.0282    1.0636    1.1562    1.0345
    1.0214    1.0958    1.1364    1.0241
    1.0162    1.1287    1.1129    1.0159
    1.0154    1.1548    1.0889    1.0075
    1.0220    1.1685    1.0670    0.9956
    1.0381    1.1682    1.0486    0.9768
    1.0636    1.1562    1.0345    0.9491
    1.0958    1.1364    1.0241    0.9130
    1.1287    1.1129    1.0159    0.8715
    1.1548    1.0889    1.0075    0.8286
    1.1685    1.0670    0.9956    0.7882
    1.1682    1.0486    0.9768    0.7533
    1.1562    1.0345    0.9491    0.7259
    1.1364    1.0241    0.9130    0.7073
    1.1129    1.0159    0.8715    0.6980
    1.0889    1.0075    0.8286    0.6975
    1.0670    0.9956    0.7882    0.7044
    1.0486    0.9768    0.7533    0.7168
    1.0345    0.9491    0.7259    0.7326
    1.0241    0.9130    0.7073    0.7504
    1.0159    0.8715    0.6980    0.7696
    1.0075    0.8286    0.6975    0.7908
    0.9956    0.7882    0.7044    0.8157
    0.9768    0.7533    0.7168    0.8466
    0.9491    0.7259    0.7326    0.8847
    0.9130    0.7073    0.7504    0.9290
    0.8715    0.6980    0.7696    0.9756
    0.8286    0.6975    0.7908    1.0202
    0.7882    0.7044    0.8157    1.0596
    0.7533    0.7168    0.8466    1.0928
    0.7259    0.7326    0.8847    1.1204
    0.7073    0.7504    0.9290    1.1436
    0.6980    0.7696    0.9756    1.1640
    0.6975    0.7908    1.0202    1.1828
    0.7044    0.8157    1.0596    1.2012
    0.7168    0.8466    1.0928    1.2195
    0.7326    0.8847    1.1204    1.2378
    0.7504    0.9290    1.1436    1.2559
    0.7696    0.9756    1.1640    1.2734
    0.7908    1.0202    1.1828    1.2897
    0.8157    1.0596    1.2012    1.3036
    0.8466    1.0928    1.2195    1.3127
    0.8847    1.1204    1.2378    1.3131
    0.9290    1.1436    1.2559    1.3003
    0.9756    1.1640    1.2734    1.2722
    1.0202    1.1828    1.2897    1.2308
    1.0596    1.2012    1.3036    1.1799
    1.0928    1.2195    1.3127    1.1236
    1.1204    1.2378    1.3131    1.0649
    1.1436    1.2559    1.3003    1.0059
    1.1640    1.2734    1.2722    0.9476
    1.1828    1.2897    1.2308    0.8908
    1.2012    1.3036    1.1799    0.8358
    1.2195    1.3127    1.1236    0.7827
    1.2378    1.3131    1.0649    0.7317
    1.2559    1.3003    1.0059    0.6830
    1.2734    1.2722    0.9476    0.6368
    1.2897    1.2308    0.8908    0.5933
    1.3036    1.1799    0.8358    0.5526
    1.3127    1.1236    0.7827    0.5153
    1.3131    1.0649    0.7317    0.4822
    1.3003    1.0059    0.6830    0.4545
    1.2722    0.9476    0.6368    0.4340
    1.2308    0.8908    0.5933    0.4234
    1.1799    0.8358    0.5526    0.4262
    1.1236    0.7827    0.5153    0.4460
    1.0649    0.7317    0.4822    0.4853
    1.0059    0.6830    0.4545    0.5430
    0.9476    0.6368    0.4340    0.6134
    0.8908    0.5933    0.4234    0.6884
    0.8358    0.5526    0.4262    0.7601
    0.7827    0.5153    0.4460    0.8234
    0.7317    0.4822    0.4853    0.8755
    0.6830    0.4545    0.5430    0.9157
    0.6368    0.4340    0.6134    0.9447
    0.5933    0.4234    0.6884    0.9633
    0.5526    0.4262    0.7601    0.9730
    0.5153    0.4460    0.8234    0.9752
    0.4822    0.4853    0.8755    0.9713
    0.4545    0.5430    0.9157    0.9633
    0.4340    0.6134    0.9447    0.9530
    0.4234    0.6884    0.9633    0.9429
    0.4262    0.7601    0.9730    0.9359
    0.4460    0.8234    0.9752    0.9351
    0.4853    0.8755    0.9713    0.9436
    0.5430    0.9157    0.9633    0.9633
    0.6134    0.9447    0.9530    0.9938
    0.6884    0.9633    0.9429    1.0317
    0.7601    0.9730    0.9359    1.0707
    0.8234    0.9752    0.9351    1.1036
    0.8755    0.9713    0.9436    1.1262
    0.9157    0.9633    0.9633    1.1379
    0.9447    0.9530    0.9938    1.1410
    0.9633    0.9429    1.0317    1.1391
    0.9730    0.9359    1.0707    1.1353
    0.9752    0.9351    1.1036    1.1322
